asset,cost_drag_pct,data_ok,fee_bps,fees_usd,grid_key,max_drawdown_pct,risk_denial_rate,risk_denials_count,risk_rules_triggered,sharpe_ratio,slippage_bps,slippage_drag_usd,stopped_by_risk,strategy,strategy_family,timeframe,total_return_pct,trade_count,turnover_ratio,verdict,verdict_reasons
BTC,0.0,True,0.0,0.0,fee0_slip0,28.211097879607415,0.9939,809,"['max_drawdown_pct', 'max_position_fraction']",0.21950664220663302,0.0,0.0,True,trend_following,trend_ema_donchian,1d,14.893229245355155,5,1.2475,blocked_risk,"['max_drawdown_pct=28.21', 'risk_denial_rate=99.39%', 'safety_stop']"
BTC,0.0,True,0.0,0.0,fee0_slip0,29.79493909358204,0.9846,64,"['max_drawdown_pct', 'max_position_fraction']",0.3244187691701891,0.0,0.0,True,breakout,breakout_atr,1d,29.706181449828183,1,0.25,insufficient_trades,['trade_count=1 < 5']
BTC,0.0,True,0.0,0.0,fee0_slip0,31.924118819856425,0.9972,1784,"['max_drawdown_pct', 'max_position_fraction']",0.34652852077415053,0.0,0.0,True,mean_reversion,rsi_bollinger_mr,1d,35.13205631146496,5,1.2344,blocked_risk,"['max_drawdown_pct=31.92', 'risk_denial_rate=99.72%', 'safety_stop']"
BTC,0.0,True,0.0,0.0,fee0_slip0,23.04366227337473,0.0769,1,['max_position_fraction'],0.41841227967862155,0.0,0.0,False,grid,grid,1d,33.174644225569935,12,1.2352,blocked_risk,"['max_drawdown_pct=23.04', 'grid_max_inventory']"
BTC,0.0,True,0.0,0.0,fee0_slip0,28.86907805532769,0.9988,850,"['max_drawdown_pct', 'max_position_fraction']",0.30915928788641434,0.0,0.0,True,ema_crossover,trend_ema_donchian,1d,26.978658667583293,1,0.25,insufficient_trades,['trade_count=1 < 5']
BTC,0.0,True,0.0,0.0,fee0_slip0,29.79493909358204,0.9841,62,"['max_drawdown_pct', 'max_position_fraction']",0.3244187691701891,0.0,0.0,True,donchian_breakout,trend_ema_donchian,1d,29.706181449828183,1,0.25,insufficient_trades,['trade_count=1 < 5']
BTC,0.0,True,0.0,0.0,fee0_slip0,32.97996747927684,0.9994,1759,"['max_drawdown_pct', 'max_position_fraction']",0.37368670810846066,0.0,0.0,True,rsi_mean_reversion,rsi_bollinger_mr,1d,39.97273445931319,1,0.25,insufficient_trades,['trade_count=1 < 5']
BTC,0.0,True,0.0,0.0,fee0_slip0,32.97996747927684,0.9983,1777,"['max_drawdown_pct', 'max_position_fraction']",0.370916664145568,0.0,0.0,True,bollinger_mean_reversion,rsi_bollinger_mr,1d,39.72357810051351,3,0.7478,insufficient_trades,['trade_count=3 < 5']
BTC,0.0,True,0.0,0.0,fee0_slip0,34.595361758125115,0.9991,1137,"['max_drawdown_pct', 'max_position_fraction']",0.5733957818864269,0.0,0.0,True,atr_breakout,breakout_atr,1d,82.87117279691651,1,0.25,insufficient_trades,['trade_count=1 < 5']
BTC,0.0,True,0.0,0.0,fee0_slip0,7.11836791107615,0.0,0,[],0.9419941841835675,0.0,0.0,False,trend_following,trend_ema_donchian,4h,20.008065379564595,116,26.4419,paper_candidate,['meets paper thresholds']
BTC,0.0,True,0.0,0.0,fee0_slip0,9.953981712132705,0.234,33,['max_position_fraction'],0.6425625077025039,0.0,0.0,False,breakout,breakout_atr,4h,15.956323786327495,108,24.7313,paper_candidate,['meets paper thresholds']
BTC,0.0,True,0.0,0.0,fee0_slip0,8.57605445104424,0.0,0,[],0.23876544064955,0.0,0.0,False,mean_reversion,rsi_bollinger_mr,4h,3.3368870560244206,232,47.9585,paper_candidate,['meets paper thresholds']
BTC,0.0,True,0.0,0.0,fee0_slip0,30.193794347331977,0.0,0,[],0.7243752652903485,0.0,0.0,False,grid,grid,4h,48.23228518144484,3,0.2394,insufficient_trades,['trade_count=3 < 10']
BTC,0.0,True,0.0,0.0,fee0_slip0,26.297648247582917,0.9924,2469,"['max_daily_loss_pct', 'max_drawdown_pct', 'max_position_fraction']",0.6563087634095695,0.0,0.0,True,ema_crossover,trend_ema_donchian,4h,35.28281135887903,19,3.8162,blocked_risk,"['max_drawdown_pct=26.30', 'risk_denial_rate=99.24%', 'safety_stop']"
BTC,0.0,True,0.0,0.0,fee0_slip0,11.029913481803156,0.223,31,['max_position_fraction'],0.5069992431200612,0.0,0.0,False,donchian_breakout,trend_ema_donchian,4h,12.115432526311382,108,24.1852,paper_candidate,['meets paper thresholds']
BTC,0.0,True,0.0,0.0,fee0_slip0,10.574300785967514,0.0,0,[],0.0744259798014215,0.0,0.0,False,rsi_mean_reversion,rsi_bollinger_mr,4h,0.7622025518414375,226,46.1806,paper_candidate,['meets paper thresholds']
BTC,0.0,True,0.0,0.0,fee0_slip0,8.528058766943136,0.0,0,[],0.42845244945035543,0.0,0.0,False,bollinger_mean_reversion,rsi_bollinger_mr,4h,6.341671817188217,232,48.7359,paper_candidate,['meets paper thresholds']
BTC,0.0,True,0.0,0.0,fee0_slip0,0.5621807246519376,0.0,0,[],0.7799349428187081,0.0,0.0,False,atr_breakout,breakout_atr,4h,2.0889854791582705,72,14.6573,paper_candidate,['meets paper thresholds']
BTC,0.0,True,0.0,0.0,fee0_slip0,5.997816243940461,0.0,0,[],0.2660444219540001,0.0,0.0,False,trend_following,trend_ema_donchian,1h,2.4202444909005636,172,27.1137,paper_candidate,['meets paper thresholds']
BTC,0.0,True,0.0,0.0,fee0_slip0,6.598819568295987,0.0,0,[],0.2530408503066253,0.0,0.0,False,breakout,breakout_atr,1h,2.2561971127875835,184,28.2435,paper_candidate,['meets paper thresholds']
BTC,0.0,True,0.0,0.0,fee0_slip0,7.066725595933724,0.0,0,[],0.10956444186946267,0.0,0.0,False,mean_reversion,rsi_bollinger_mr,1h,0.7316717396552235,358,54.7658,paper_candidate,['meets paper thresholds']
BTC,0.0,True,0.0,0.0,fee0_slip0,6.963809033232826,0.0,0,[],0.27053028808145163,0.0,0.0,False,grid,grid,1h,2.270690135104542,11,0.7661,insufficient_trades,['trade_count=11 < 20']
BTC,0.0,True,0.0,0.0,fee0_slip0,7.31704271885332,0.0,0,[],0.21507039980954387,0.0,0.0,False,ema_crossover,trend_ema_donchian,1h,1.872285939792812,186,29.1003,paper_candidate,['meets paper thresholds']
BTC,0.0,True,0.0,0.0,fee0_slip0,6.114190872890325,0.0,0,[],0.2739300760614597,0.0,0.0,False,donchian_breakout,trend_ema_donchian,1h,2.4484798672129044,180,27.6028,paper_candidate,['meets paper thresholds']
BTC,0.0,True,0.0,0.0,fee0_slip0,6.0505177051917665,0.0,0,[],0.24411262878719003,0.0,0.0,False,rsi_mean_reversion,rsi_bollinger_mr,1h,1.8691507049754592,568,88.2968,paper_candidate,['meets paper thresholds']
BTC,0.0,True,0.0,0.0,fee0_slip0,6.391975304789231,0.0,0,[],0.011520198145554899,0.0,0.0,False,bollinger_mean_reversion,rsi_bollinger_mr,1h,-0.07149513048781274,676,103.6484,paper_candidate,['meets paper thresholds']
BTC,0.0,True,0.0,0.0,fee0_slip0,1.0191918032052856,0.0,0,[],0.5311976232015679,0.0,0.0,False,atr_breakout,breakout_atr,1h,0.973570454249102,144,21.6839,paper_candidate,['meets paper thresholds']
ETH,0.0,True,0.0,0.0,fee0_slip0,30.191776396276122,0.9989,922,"['max_drawdown_pct', 'max_position_fraction']",0.026159301259585648,0.0,0.0,True,trend_following,trend_ema_donchian,1d,-4.575305052302906,1,0.25,insufficient_trades,['trade_count=1 < 5']
ETH,0.0,True,0.0,0.0,fee0_slip0,31.26975964885951,0.9848,65,"['max_drawdown_pct', 'max_position_fraction']",0.042622648422254356,0.0,0.0,True,breakout,breakout_atr,1d,-3.3712999784711197,1,0.25,insufficient_trades,['trade_count=1 < 5']
ETH,0.0,True,0.0,0.0,fee0_slip0,37.50564377384771,0.9972,1775,"['max_drawdown_pct', 'max_position_fraction']",0.0915665926741589,0.0,0.0,True,mean_reversion,rsi_bollinger_mr,1d,-0.3243484997364817,5,1.1649,blocked_risk,"['max_drawdown_pct=37.51', 'risk_denial_rate=99.72%', 'safety_stop']"
ETH,0.0,True,0.0,0.0,fee0_slip0,21.795675155059662,0.0909,1,['max_position_fraction'],0.11820318812248722,0.0,0.0,False,grid,grid,1d,5.198853460760711,10,1.0135,blocked_risk,['max_drawdown_pct=21.80']
ETH,0.0,True,0.0,0.0,fee0_slip0,32.57050600310085,0.9989,917,"['max_drawdown_pct', 'max_position_fraction']",0.06166220694309044,0.0,0.0,True,ema_crossover,trend_ema_donchian,1d,-1.8445394413543907,1,0.25,insufficient_trades,['trade_count=1 < 5']
ETH,0.0,True,0.0,0.0,fee0_slip0,31.26975964885951,0.9848,65,"['max_drawdown_pct', 'max_position_fraction']",0.042622648422254356,0.0,0.0,True,donchian_breakout,trend_ema_donchian,1d,-3.3712999784711197,1,0.25,insufficient_trades,['trade_count=1 < 5']
ETH,0.0,True,0.0,0.0,fee0_slip0,36.37209169218441,0.9983,1779,"['max_drawdown_pct', 'max_position_fraction']",0.1129111149871525,0.0,0.0,True,rsi_mean_reversion,rsi_bollinger_mr,1d,3.0216953595031097,3,0.7485,insufficient_trades,['trade_count=3 < 5']
ETH,0.0,True,0.0,0.0,fee0_slip0,36.91823111301113,0.9845,1334,"['max_drawdown_pct', 'max_position_fraction']",0.13980616403252175,0.0,0.0,True,bollinger_mean_reversion,rsi_bollinger_mr,1d,5.949873839244674,21,4.751,blocked_risk,"['max_drawdown_pct=36.92', 'risk_denial_rate=98.45%', 'safety_stop']"
ETH,0.0,True,0.0,0.0,fee0_slip0,29.67127250467741,0.99,892,"['max_drawdown_pct', 'max_position_fraction']",0.08431797779310045,0.0,0.0,True,atr_breakout,breakout_atr,1d,1.3720116093298884,9,2.1842,blocked_risk,"['max_drawdown_pct=29.67', 'risk_denial_rate=99.00%', 'safety_stop']"
ETH,0.0,True,0.0,0.0,fee0_slip0,14.45059069660734,0.8284,473,"['max_daily_loss_pct', 'max_position_fraction']",0.48935046804413523,0.0,0.0,True,trend_following,trend_ema_donchian,4h,15.388834129885185,98,21.13,blocked_risk,"['risk_denial_rate=82.84%', 'safety_stop']"
ETH,0.0,True,0.0,0.0,fee0_slip0,19.423891516887544,0.1849,27,"['max_drawdown_pct', 'max_position_fraction']",0.024871231601268567,0.0,0.0,True,breakout,breakout_atr,4h,-0.6961473250665676,119,24.9872,blocked_risk,"['max_drawdown_pct=19.42', 'safety_stop']"
ETH,0.0,True,0.0,0.0,fee0_slip0,12.556957139847198,0.0,0,[],-0.05677781257490588,0.0,0.0,False,mean_reversion,rsi_bollinger_mr,4h,-2.054957476785307,235,46.5561,weak,['sharpe=-0.057']
ETH,0.0,True,0.0,0.0,fee0_slip0,14.219450381101897,0.0,0,[],0.11149375620737775,0.0,0.0,False,grid,grid,4h,1.8280946216314078,9,0.8502,insufficient_trades,['trade_count=9 < 10']
