asset,best_excess_vs_bh,runs,strategy,timeframe,validation_candidate,verdicts
BTC,63.4144,18,atr_breakout,1d,0,"failed_walkforward,unstable,weak"
BTC,-49.4457,18,atr_breakout,4h,0,"failed_walkforward,weak"
BTC,10.2494,18,donchian_breakout,1d,0,"failed_walkforward,unstable,weak"
BTC,-38.9028,18,donchian_breakout,4h,0,"failed_walkforward,weak"
BTC,7.5219,18,ema_crossover,1d,0,"failed_walkforward,unstable,weak"
BTC,-12.8923,18,ema_crossover,4h,0,"failed_walkforward,unstable,weak"
BTC,6.203,18,trend_following,1d,0,"failed_walkforward,unstable,weak"
BTC,-15.0366,18,trend_following,4h,0,"failed_walkforward,unstable,weak"
ETH,9.2551,18,atr_breakout,1d,0,"failed_walkforward,weak"
ETH,-4.7223,18,atr_breakout,4h,0,"failed_walkforward,unstable,weak"
ETH,7.6765,18,donchian_breakout,1d,0,"failed_walkforward,unstable,weak"
ETH,-3.3265,18,donchian_breakout,4h,0,"failed_walkforward,unstable,weak"
ETH,6.9344,18,ema_crossover,1d,0,"failed_walkforward,unstable"
ETH,-7.7234,18,ema_crossover,4h,0,"failed_walkforward,unstable,weak"
ETH,5.4077,18,trend_following,1d,0,"failed_walkforward,unstable"
ETH,0.1388,18,trend_following,4h,1,"failed_walkforward,unstable,validation_candidate,weak"
SOL,-5.7967,18,atr_breakout,1d,0,"failed_walkforward,weak"
SOL,-78.8796,18,atr_breakout,4h,0,"failed_walkforward,unstable,weak"
SOL,12.3328,18,donchian_breakout,1d,0,"failed_walkforward,unstable"
SOL,-14.9455,18,donchian_breakout,4h,0,"failed_walkforward,unstable,weak"
SOL,7.0933,18,ema_crossover,1d,0,"failed_walkforward,unstable"
SOL,-15.5287,18,ema_crossover,4h,0,"failed_walkforward,unstable,weak"
SOL,10.9416,18,trend_following,1d,0,"failed_walkforward,unstable,weak"
SOL,-17.0669,18,trend_following,4h,0,"failed_walkforward,unstable,weak"
