asset,baseline_mean_return_pct,event_count,excess_mean_pct,horizon_bars,horizon_hours,mean_return_pct,median_return_pct,sign_rate,signal_id,status,timeframe
BTC,0.0211,3143,-0.0162,1,4,0.0049,0.0098,0.5049,funding_extreme,available,4h
BTC,0.1275,3138,-0.118,6,24,0.0095,0.0708,0.5143,funding_extreme,available,4h
BTC,0.3763,3126,-0.3541,18,72,0.0222,0.0857,0.5115,funding_extreme,available,4h
BTC,0.0211,126,0.0402,1,4,0.0613,0.0718,0.5476,funding_zscore,available,4h
BTC,0.1275,126,0.4822,6,24,0.6098,0.4055,0.5635,funding_zscore,available,4h
BTC,0.3763,126,0.9306,18,72,1.3069,0.7037,0.5635,funding_zscore,available,4h
BTC,0.0211,14,0.3207,1,4,0.3418,0.1609,0.7143,oi_expansion_flat_price,available,4h
BTC,0.1275,13,0.6901,6,24,0.8177,0.6564,0.8462,oi_expansion_flat_price,available,4h
BTC,0.3763,13,2.2866,18,72,2.6629,3.674,0.7692,oi_expansion_flat_price,available,4h
BTC,0.0211,23,0.144,1,4,0.1651,0.0996,0.5652,oi_zscore_range_compress,available,4h
BTC,0.1275,23,0.6096,6,24,0.7371,0.6564,0.8261,oi_zscore_range_compress,available,4h
BTC,0.3763,23,0.8065,18,72,1.1828,2.0834,0.6087,oi_zscore_range_compress,available,4h
BTC,0.0851,478,-0.1263,1,4,-0.0412,-0.0572,0.4812,funding_extreme,available,1d
BTC,0.0851,478,-0.1263,1,24,-0.0412,-0.0572,0.4812,funding_extreme,available,1d
BTC,0.2517,476,-0.246,3,72,0.0056,0.0628,0.5084,funding_extreme,available,1d
BTC,0.0851,23,0.261,1,4,0.3461,-0.0601,0.4783,funding_zscore,available,1d
BTC,0.0851,23,0.261,1,24,0.3461,-0.0601,0.4783,funding_zscore,available,1d
BTC,0.2517,23,0.1226,3,72,0.3743,-0.3093,0.4348,funding_zscore,available,1d
ETH,0.0118,3198,0.0056,1,4,0.0173,0.0126,0.5063,funding_extreme,available,4h
ETH,0.0716,3193,0.0011,6,24,0.0727,0.0466,0.5058,funding_extreme,available,4h
ETH,0.2086,3181,0.0106,18,72,0.2192,0.0325,0.5017,funding_extreme,available,4h
ETH,0.0118,142,0.1547,1,4,0.1664,0.0844,0.5211,funding_zscore,available,4h
ETH,0.0716,142,0.6366,6,24,0.7082,0.6333,0.6408,funding_zscore,available,4h
ETH,0.2086,142,0.7858,18,72,0.9944,1.0338,0.6056,funding_zscore,available,4h
ETH,0.0118,11,-0.0101,1,4,0.0016,0.2264,0.6364,oi_expansion_flat_price,available,4h
ETH,0.0716,11,-1.1249,6,24,-1.0533,-0.4206,0.4545,oi_expansion_flat_price,available,4h
ETH,0.2086,9,-1.5251,18,72,-1.3165,-2.2751,0.2222,oi_expansion_flat_price,available,4h
ETH,0.0118,18,-0.0882,1,4,-0.0764,-0.3012,0.3889,oi_zscore_range_compress,available,4h
ETH,0.0716,18,-0.1707,6,24,-0.099,0.6937,0.6111,oi_zscore_range_compress,available,4h
ETH,0.2086,18,-0.1399,18,72,0.0687,-0.0423,0.5,oi_zscore_range_compress,available,4h
ETH,0.0671,503,0.0769,1,4,0.144,0.0531,0.507,funding_extreme,available,1d
ETH,0.0671,503,0.0769,1,24,0.144,0.0531,0.507,funding_extreme,available,1d
ETH,0.1866,501,0.1743,3,72,0.3609,0.1783,0.515,funding_extreme,available,1d
ETH,0.0671,22,-0.5583,1,4,-0.4911,-0.9997,0.3182,funding_zscore,available,1d
ETH,0.0671,22,-0.5583,1,24,-0.4911,-0.9997,0.3182,funding_zscore,available,1d
ETH,0.1866,22,0.1582,3,72,0.3448,-0.5586,0.4545,funding_zscore,available,1d
