asset,baseline_mean_return_pct,bh_rejected,event_count,excess_mean_pct,gate_layers,gate_passed,gate_reason,gate_rejected_by,horizon_bars,horizon_hours,mean_return_pct,median_return_pct,n_placebos,p_value,p_value_tail,q_value,sign_rate,signal_id,status,timeframe
BTC,0.0165,False,1490,-0.001,power=pass;direction=fail;inference=n/a;economic=n/a,False,expected direction not pre-registered [basis=symmetric_detector] (fires on percentile <=10% (crowded shorts -> bullish reversion) AND >=90% (crowded longs -> bearish reversion); the two halves predict opposite signs and their union has no signed expectation. Testable only after splitting into funding_extreme_high/_low),direction,1,4,0.0155,0.0101,200,0.955224,two_sided,0.9651739999999999,0.5074,funding_extreme,available,4h
BTC,0.0998,False,1488,-0.038,power=pass;direction=fail;inference=n/a;economic=n/a,False,expected direction not pre-registered [basis=symmetric_detector] (fires on percentile <=10% (crowded shorts -> bullish reversion) AND >=90% (crowded longs -> bearish reversion); the two halves predict opposite signs and their union has no signed expectation. Testable only after splitting into funding_extreme_high/_low),direction,6,24,0.0618,0.0886,200,0.646766,two_sided,0.9651739999999999,0.5208,funding_extreme,available,4h
BTC,0.2987,False,1486,-0.0793,power=pass;direction=fail;inference=n/a;economic=n/a,False,expected direction not pre-registered [basis=symmetric_detector] (fires on percentile <=10% (crowded shorts -> bullish reversion) AND >=90% (crowded longs -> bearish reversion); the two halves predict opposite signs and their union has no signed expectation. Testable only after splitting into funding_extreme_high/_low),direction,18,72,0.2194,0.2295,200,0.457711,two_sided,0.9651739999999999,0.5289,funding_extreme,available,4h
BTC,0.0165,False,243,-0.0082,power=pass;direction=fail;inference=n/a;economic=n/a,False,expected direction not pre-registered [basis=symmetric_detector] (fires on |z|>=2: z>=+2 and z<=-2 carry opposite crowding sides and opposite reversion hypotheses; the union is sign-free by construction),direction,1,4,0.0084,-0.0147,200,0.756219,two_sided,0.9651739999999999,0.4856,funding_zscore,available,4h
BTC,0.0998,False,243,0.0215,power=pass;direction=fail;inference=n/a;economic=n/a,False,expected direction not pre-registered [basis=symmetric_detector] (fires on |z|>=2: z>=+2 and z<=-2 carry opposite crowding sides and opposite reversion hypotheses; the union is sign-free by construction),direction,6,24,0.1213,-0.0698,200,0.965174,two_sided,0.9651739999999999,0.4856,funding_zscore,available,4h
BTC,0.2987,False,243,0.2219,power=pass;direction=fail;inference=n/a;economic=n/a,False,expected direction not pre-registered [basis=symmetric_detector] (fires on |z|>=2: z>=+2 and z<=-2 carry opposite crowding sides and opposite reversion hypotheses; the union is sign-free by construction),direction,18,72,0.5206,0.8856,200,0.427861,two_sided,0.9651739999999999,0.5802,funding_zscore,available,4h
BTC,0.0165,False,34,0.0131,power=pass;direction=fail;inference=n/a;economic=n/a,False,"expected direction not pre-registered [basis=volatility_hypothesis] (the documented hypothesis is 'leverage builds under a flat tape, a squeeze becomes likely' — a statement about |move|, not about its sign; a signed excess-return test does not test this hypothesis at all)",direction,1,4,0.0296,-0.0199,200,0.855721,two_sided,0.9651739999999999,0.4706,oi_expansion_flat_price,available,4h
BTC,0.0998,False,34,0.3104,power=pass;direction=fail;inference=n/a;economic=n/a,False,"expected direction not pre-registered [basis=volatility_hypothesis] (the documented hypothesis is 'leverage builds under a flat tape, a squeeze becomes likely' — a statement about |move|, not about its sign; a signed excess-return test does not test this hypothesis at all)",direction,6,24,0.4101,0.2088,200,0.497512,two_sided,0.9651739999999999,0.6471,oi_expansion_flat_price,available,4h
BTC,0.2987,False,33,1.1304,power=pass;direction=fail;inference=n/a;economic=n/a,False,"expected direction not pre-registered [basis=volatility_hypothesis] (the documented hypothesis is 'leverage builds under a flat tape, a squeeze becomes likely' — a statement about |move|, not about its sign; a signed excess-return test does not test this hypothesis at all)",direction,18,72,1.4291,1.7745,200,0.139303,two_sided,0.9651739999999999,0.7273,oi_expansion_flat_price,available,4h
BTC,0.0165,False,24,0.0703,power=fail;direction=n/a;inference=n/a;economic=n/a,False,n=24 < power floor 30,power,1,4,0.0868,0.0405,0,,,,0.625,oi_zscore_range_compress,available,4h
BTC,0.0998,False,24,-0.0405,power=fail;direction=n/a;inference=n/a;economic=n/a,False,n=24 < power floor 30,power,6,24,0.0593,0.0422,0,,,,0.5417,oi_zscore_range_compress,available,4h
BTC,0.2987,False,24,0.7172,power=fail;direction=n/a;inference=n/a;economic=n/a,False,n=24 < power floor 30,power,18,72,1.0159,1.3051,0,,,,0.6667,oi_zscore_range_compress,available,4h
BTC,0.0165,False,22,-0.0139,power=fail;direction=n/a;inference=n/a;economic=n/a,False,n=22 < power floor 30,power,1,4,0.0026,-0.0448,0,,,,0.4091,funding_oi_disagreement,available,4h
BTC,0.0998,False,22,0.3118,power=fail;direction=n/a;inference=n/a;economic=n/a,False,n=22 < power floor 30,power,6,24,0.4115,0.53,0,,,,0.7727,funding_oi_disagreement,available,4h
BTC,0.2987,False,20,0.5332,power=fail;direction=n/a;inference=n/a;economic=n/a,False,n=20 < power floor 30,power,18,72,0.8319,0.8354,0,,,,0.65,funding_oi_disagreement,available,4h
BTC,0.0709,False,220,0.021,power=pass;direction=fail;inference=n/a;economic=n/a,False,expected direction not pre-registered [basis=symmetric_detector] (fires on percentile <=10% (crowded shorts -> bullish reversion) AND >=90% (crowded longs -> bearish reversion); the two halves predict opposite signs and their union has no signed expectation. Testable only after splitting into funding_extreme_high/_low),direction,1,4,0.0919,0.0133,200,0.825871,two_sided,0.835821,0.5045,funding_extreme,available,1d
BTC,0.0709,False,220,0.021,power=pass;direction=fail;inference=n/a;economic=n/a,False,expected direction not pre-registered [basis=symmetric_detector] (fires on percentile <=10% (crowded shorts -> bullish reversion) AND >=90% (crowded longs -> bearish reversion); the two halves predict opposite signs and their union has no signed expectation. Testable only after splitting into funding_extreme_high/_low),direction,1,24,0.0919,0.0133,200,0.835821,two_sided,0.835821,0.5045,funding_extreme,available,1d
BTC,0.2219,False,220,-0.1249,power=pass;direction=fail;inference=n/a;economic=n/a,False,expected direction not pre-registered [basis=symmetric_detector] (fires on percentile <=10% (crowded shorts -> bullish reversion) AND >=90% (crowded longs -> bearish reversion); the two halves predict opposite signs and their union has no signed expectation. Testable only after splitting into funding_extreme_high/_low),direction,3,72,0.097,-0.1342,200,0.696517,two_sided,0.835821,0.4864,funding_extreme,available,1d
BTC,0.0709,False,27,-0.3635,power=fail;direction=n/a;inference=n/a;economic=n/a,False,n=27 < power floor 30,power,1,4,-0.2927,-0.2129,0,,,,0.4444,funding_zscore,available,1d
BTC,0.0709,False,27,-0.3635,power=fail;direction=n/a;inference=n/a;economic=n/a,False,n=27 < power floor 30,power,1,24,-0.2927,-0.2129,0,,,,0.4444,funding_zscore,available,1d
BTC,0.2219,False,27,-1.4413,power=fail;direction=n/a;inference=n/a;economic=n/a,False,n=27 < power floor 30,power,3,72,-1.2194,-0.6911,0,,,,0.3333,funding_zscore,available,1d
ETH,0.0091,False,1509,0.0039,power=pass;direction=fail;inference=n/a;economic=n/a,False,expected direction not pre-registered [basis=symmetric_detector] (fires on percentile <=10% (crowded shorts -> bullish reversion) AND >=90% (crowded longs -> bearish reversion); the two halves predict opposite signs and their union has no signed expectation. Testable only after splitting into funding_extreme_high/_low),direction,1,4,0.013,-0.0095,200,0.825871,two_sided,0.8258709999999999,0.4944,funding_extreme,available,4h
ETH,0.0575,False,1509,0.0685,power=pass;direction=fail;inference=n/a;economic=n/a,False,expected direction not pre-registered [basis=symmetric_detector] (fires on percentile <=10% (crowded shorts -> bullish reversion) AND >=90% (crowded longs -> bearish reversion); the two halves predict opposite signs and their union has no signed expectation. Testable only after splitting into funding_extreme_high/_low),direction,6,24,0.126,0.0864,200,0.368159,two_sided,0.8258709999999999,0.5123,funding_extreme,available,4h
ETH,0.1736,False,1509,0.0771,power=pass;direction=fail;inference=n/a;economic=n/a,False,expected direction not pre-registered [basis=symmetric_detector] (fires on percentile <=10% (crowded shorts -> bullish reversion) AND >=90% (crowded longs -> bearish reversion); the two halves predict opposite signs and their union has no signed expectation. Testable only after splitting into funding_extreme_high/_low),direction,18,72,0.2507,-0.0407,200,0.517413,two_sided,0.8258709999999999,0.4983,funding_extreme,available,4h
ETH,0.0091,False,266,0.0439,power=pass;direction=fail;inference=n/a;economic=n/a,False,expected direction not pre-registered [basis=symmetric_detector] (fires on |z|>=2: z>=+2 and z<=-2 carry opposite crowding sides and opposite reversion hypotheses; the union is sign-free by construction),direction,1,4,0.053,0.0352,200,0.78607,two_sided,0.8258709999999999,0.515,funding_zscore,available,4h
ETH,0.0575,False,266,0.0631,power=pass;direction=fail;inference=n/a;economic=n/a,False,expected direction not pre-registered [basis=symmetric_detector] (fires on |z|>=2: z>=+2 and z<=-2 carry opposite crowding sides and opposite reversion hypotheses; the union is sign-free by construction),direction,6,24,0.1206,0.2305,200,0.766169,two_sided,0.8258709999999999,0.5564,funding_zscore,available,4h
ETH,0.1736,False,266,-0.177,power=pass;direction=fail;inference=n/a;economic=n/a,False,expected direction not pre-registered [basis=symmetric_detector] (fires on |z|>=2: z>=+2 and z<=-2 carry opposite crowding sides and opposite reversion hypotheses; the union is sign-free by construction),direction,18,72,-0.0034,0.3243,200,0.646766,two_sided,0.8258709999999999,0.5338,funding_zscore,available,4h
ETH,0.0091,False,18,0.4253,power=fail;direction=n/a;inference=n/a;economic=n/a,False,n=18 < power floor 30,power,1,4,0.4344,0.0074,0,,,,0.5,oi_expansion_flat_price,available,4h
ETH,0.0575,False,16,0.2618,power=fail;direction=n/a;inference=n/a;economic=n/a,False,n=16 < power floor 30,power,6,24,0.3193,0.1302,0,,,,0.75,oi_expansion_flat_price,available,4h
ETH,0.1736,False,14,1.7582,power=fail;direction=n/a;inference=n/a;economic=n/a,False,n=14 < power floor 30,power,18,72,1.9317,1.5282,0,,,,0.8571,oi_expansion_flat_price,available,4h
ETH,0.0091,False,13,-0.0276,power=fail;direction=n/a;inference=n/a;economic=n/a,False,n=13 < power floor 30,power,1,4,-0.0185,0.0696,0,,,,0.5385,oi_zscore_range_compress,available,4h
ETH,0.0575,False,13,0.1126,power=fail;direction=n/a;inference=n/a;economic=n/a,False,n=13 < power floor 30,power,6,24,0.1701,0.1805,0,,,,0.6923,oi_zscore_range_compress,available,4h
ETH,0.1736,False,10,0.1103,power=fail;direction=n/a;inference=n/a;economic=n/a,False,n=10 < power floor 30,power,18,72,0.2838,0.1601,0,,,,0.7,oi_zscore_range_compress,available,4h
ETH,0.0091,False,16,-0.0145,power=fail;direction=n/a;inference=n/a;economic=n/a,False,n=16 < power floor 30,power,1,4,-0.0054,-0.0337,0,,,,0.375,funding_oi_disagreement,available,4h
ETH,0.0575,False,16,0.4151,power=fail;direction=n/a;inference=n/a;economic=n/a,False,n=16 < power floor 30,power,6,24,0.4726,0.4097,0,,,,0.875,funding_oi_disagreement,available,4h
ETH,0.1736,False,16,0.6436,power=fail;direction=n/a;inference=n/a;economic=n/a,False,n=16 < power floor 30,power,18,72,0.8172,1.4667,0,,,,0.625,funding_oi_disagreement,available,4h
ETH,0.0655,False,204,-0.0667,power=pass;direction=fail;inference=n/a;economic=n/a,False,expected direction not pre-registered [basis=symmetric_detector] (fires on percentile <=10% (crowded shorts -> bullish reversion) AND >=90% (crowded longs -> bearish reversion); the two halves predict opposite signs and their union has no signed expectation. Testable only after splitting into funding_extreme_high/_low),direction,1,4,-0.0012,0.004,200,0.825871,two_sided,0.835821,0.5,funding_extreme,available,1d
