bar_index,breakout_pressure,close,drawdown_from_high,long_ma,moving_average_slope,position_scale,range_score,realized_vol,reason,regime,run_id,selected_strategy,trend_strength,volatility_percentile,volume_zscore
55,,,,,,0.0,,,panic_cash,panic,BTC_1d_regime_router,cash,,,
62,,,,,,0.25,,,reduce_exposure_high_vol,high_vol,BTC_1d_regime_router,cash,,,
71,,,,,,0.0,,,unknown_hold,unknown,BTC_1d_regime_router,cash,,,
80,,,,,,0.0,,,panic_cash,panic,BTC_1d_regime_router,cash,,,
82,,,,,,0.0,,,unknown_hold,unknown,BTC_1d_regime_router,cash,,,
83,,,,,,0.0,,,panic_cash,panic,BTC_1d_regime_router,cash,,,
101,,,,,,0.25,,,reduce_exposure_high_vol,high_vol,BTC_1d_regime_router,cash,,,
105,,,,,,0.0,,,panic_cash,panic,BTC_1d_regime_router,cash,,,
106,,,,,,0.0,,,unknown_hold,unknown,BTC_1d_regime_router,cash,,,
118,,,,,,0.0,,,panic_cash,panic,BTC_1d_regime_router,cash,,,
119,,,,,,0.0,,,unknown_hold,unknown,BTC_1d_regime_router,cash,,,
122,,,,,,1.0,,,range_score=0.1695,range,BTC_1d_regime_router,grid,,,
125,,,,,,0.0,,,unknown_hold,unknown,BTC_1d_regime_router,cash,,,
130,,,,,,1.0,,,slope=0.0006 trend=0.0652,trend_up,BTC_1d_regime_router,trend_following,,,
140,,,,,,1.0,,,range_score=0.1271,range,BTC_1d_regime_router,grid,,,
143,,,,,,1.0,,,slope=0.0015 trend=0.0262,trend_up,BTC_1d_regime_router,trend_following,,,
148,,,,,,1.0,,,range_score=0.0861,range,BTC_1d_regime_router,grid,,,
150,,,,,,1.0,,,slope=0.0007 trend=0.0282,trend_up,BTC_1d_regime_router,trend_following,,,
151,,,,,,0.0,,,unknown_hold,unknown,BTC_1d_regime_router,cash,,,
153,,,,,,1.0,,,slope=0.0006 trend=0.0804,trend_up,BTC_1d_regime_router,trend_following,,,
176,,,,,,0.25,,,reduce_exposure_high_vol,high_vol,BTC_1d_regime_router,cash,,,
177,,,,,,1.0,,,slope=0.0043 trend=0.1300,trend_up,BTC_1d_regime_router,trend_following,,,
180,,,,,,0.25,,,reduce_exposure_high_vol,high_vol,BTC_1d_regime_router,cash,,,
201,,,,,,1.0,,,slope=0.0086 trend=0.1796,trend_up,BTC_1d_regime_router,trend_following,,,
223,,,,,,0.0,,,unknown_hold,unknown,BTC_1d_regime_router,cash,,,
224,,,,,,1.0,,,slope=0.0066 trend=0.0470,trend_up,BTC_1d_regime_router,trend_following,,,
226,,,,,,1.0,,,range_score=0.1175,range,BTC_1d_regime_router,grid,,,
229,,,,,,0.0,,,unknown_hold,unknown,BTC_1d_regime_router,cash,,,
233,,,,,,1.0,,,range_score=0.1376,range,BTC_1d_regime_router,grid,,,
237,,,,,,1.0,,,slope=0.0025 trend=0.0464,trend_up,BTC_1d_regime_router,trend_following,,,
238,,,,,,1.0,,,range_score=0.0974,range,BTC_1d_regime_router,grid,,,
239,,,,,,0.0,,,unknown_hold,unknown,BTC_1d_regime_router,cash,,,
245,,,,,,1.0,,,range_score=0.1003,range,BTC_1d_regime_router,grid,,,
246,,,,,,1.0,,,slope=0.0018 trend=0.0288,trend_up,BTC_1d_regime_router,trend_following,,,
263,,,,,,1.0,,,range_score=0.1153,range,BTC_1d_regime_router,grid,,,
264,,,,,,0.0,,,unknown_hold,unknown,BTC_1d_regime_router,cash,,,
266,,,,,,1.0,,,range_score=0.0864,range,BTC_1d_regime_router,grid,,,
267,,,,,,0.0,,,unknown_hold,unknown,BTC_1d_regime_router,cash,,,
272,,,,,,1.0,,,range_score=0.0865,range,BTC_1d_regime_router,grid,,,
273,,,,,,0.0,,,unknown_hold,unknown,BTC_1d_regime_router,cash,,,
274,,,,,,1.0,,,range_score=0.0929,range,BTC_1d_regime_router,grid,,,
275,,,,,,0.0,,,unknown_hold,unknown,BTC_1d_regime_router,cash,,,
276,,,,,,1.0,,,range_score=0.0917,range,BTC_1d_regime_router,grid,,,
278,,,,,,0.0,,,unknown_hold,unknown,BTC_1d_regime_router,cash,,,
282,,,,,,1.0,,,range_score=0.0575,range,BTC_1d_regime_router,grid,,,
283,,,,,,0.0,,,unknown_hold,unknown,BTC_1d_regime_router,cash,,,
292,,,,,,0.0,,,panic_cash,panic,BTC_1d_regime_router,cash,,,
319,,,,,,0.0,,,unknown_hold,unknown,BTC_1d_regime_router,cash,,,
