bar_index,fee_bps,fee_usd,notional_usd,order_id,price,quantity,run_id,side,slippage_bps,strategy,symbol,timestamp
51,40.0,1.0005,250.12499999999997,,111289.606995,0.0022475144512931703,BTC_trend_following,buy,5.0,trend_following,BTC,1752019200
98,40.0,0.9894181087093972,247.3545271773493,,110056.92401,0.0022475144512931703,BTC_trend_following,sell,5.0,trend_following,BTC,1756080000
131,40.0,0.9957372288731742,248.93430721829353,,109690.667925,0.0022694210175518313,BTC_trend_following,buy,5.0,trend_following,BTC,1758931200
164,40.0,0.9828292217738723,245.70730544346807,,108268.71856000001,0.0022694210175518313,BTC_trend_following,sell,5.0,trend_following,BTC,1761782400
234,40.0,0.9905290578635889,247.63226446589724,,91145.539995,0.0027168884454410133,BTC_trend_following,buy,5.0,trend_following,BTC,1767830400
259,40.0,0.8552682308369067,213.81705770922667,,78699.240695,0.0027168884454410133,BTC_trend_following,sell,5.0,trend_following,BTC,1769990400
305,40.0,0.9548502233161951,238.71255582904877,,70545.98536499999,0.0033837865414164496,BTC_trend_following,buy,5.0,trend_following,BTC,1773964800
322,40.0,0.9314783799649862,232.86959499124654,,68819.23317,0.0033837865414164496,BTC_trend_following,sell,5.0,trend_following,BTC,1775433600
327,40.0,0.9471170692303913,236.77926730759782,,73079.68158,0.0032400150382209396,BTC_trend_following,buy,5.0,trend_following,BTC,1775865600
51,40.0,1.0005,250.12499999999997,,111289.606995,0.0022475144512931703,BTC_breakout,buy,5.0,breakout,BTC,1752019200
98,40.0,0.9894181087093972,247.3545271773493,,110056.92401,0.0022475144512931703,BTC_breakout,sell,5.0,breakout,BTC,1756080000
116,40.0,0.9957372288731742,248.93430721829353,,116087.43470999999,0.0021443690942104165,BTC_breakout,buy,5.0,breakout,BTC,1757635200
129,40.0,0.9344302143493148,233.6075535873287,,108939.99275500001,0.0021443690942104165,BTC_breakout,sell,5.0,breakout,BTC,1758758400
135,40.0,0.9784716793384498,244.61791983461245,,118654.287495,0.00206160202887671,BTC_breakout,buy,5.0,breakout,BTC,1759276800
169,40.0,0.8365690049600286,209.14225124000714,,101446.47139,0.00206160202887671,BTC_breakout,sell,5.0,breakout,BTC,1762214400
230,40.0,0.9411623247049064,235.2905811762266,,91575.49486499999,0.002569361831165537,BTC_breakout,buy,5.0,breakout,BTC,1767484800
251,40.0,0.8903046844797505,222.57617111993764,,86627.02482,0.002569361831165537,BTC_breakout,sell,5.0,breakout,BTC,1769299200
289,40.0,0.9266091747009,231.652293675225,,72703.103385,0.0031862779288596254,BTC_breakout,buy,5.0,breakout,BTC,1772582400
33,40.0,1.0005,250.12499999999997,,102171.07000499999,0.002448100034459456,BTC_mean_reversion,buy,5.0,mean_reversion,BTC,1750464000
169,40.0,0.993404440422597,248.35111010564924,,101446.47139,0.002448100034459456,BTC_mean_reversion,sell,5.0,mean_reversion,BTC,1762214400
170,40.0,0.9967303217680591,249.18258044201477,,103937.10257999999,0.0023974362788323823,BTC_mean_reversion,buy,5.0,mean_reversion,BTC,1762300800
177,40.0,0.974352078410321,243.58801960258026,,101603.54281500001,0.0023974362788323823,BTC_mean_reversion,sell,5.0,mean_reversion,BTC,1762905600
178,40.0,0.9891608957068265,247.29022392670663,,99741.86601,0.002479302160859048,BTC_mean_reversion,buy,5.0,mean_reversion,BTC,1762992000
185,40.0,0.8587698864562697,214.69247161406741,,86593.911385,0.002479302160859048,BTC_mean_reversion,sell,5.0,mean_reversion,BTC,1763596800
186,40.0,0.9546979897704767,238.67449744261918,,85171.994715,0.002802264972673996,BTC_mean_reversion,buy,5.0,mean_reversion,BTC,1763683200
255,40.0,0.9483742888403992,237.0935722100998,,84607.83492000001,0.002802264972673996,BTC_mean_reversion,sell,5.0,mean_reversion,BTC,1769644800
256,40.0,0.951212250260591,237.80306256514774,,84302.620245,0.0028208264686678214,BTC_mean_reversion,buy,5.0,mean_reversion,BTC,1769731200
263,40.0,0.7959804729626799,198.99511824066997,,70544.96987,0.0028208264686678214,BTC_mean_reversion,sell,5.0,mean_reversion,BTC,1770336000
264,40.0,0.910636835644366,227.6592089110915,,69324.02469,0.003283987188123129,BTC_mean_reversion,buy,5.0,mean_reversion,BTC,1770422400
272,40.0,0.9037291527601504,225.9322881900376,,68798.16371000001,0.003283987188123129,BTC_mean_reversion,sell,5.0,mean_reversion,BTC,1771113600
280,40.0,0.9070937782915528,226.7734445728882,,64688.348009999994,0.0035056304813632267,BTC_mean_reversion,buy,5.0,mean_reversion,BTC,1771804800
10,40.0,0.40019999999999994,100.04999999999998,,105642.54487499999,0.0009470616229321501,BTC_grid,buy,5.0,grid,BTC,1748476800
17,40.0,0.3984730470440447,99.61826176101117,,101559.43433999999,0.000980886339200254,BTC_grid,buy,5.0,grid,BTC,1749081600
182,40.0,0.710788392980536,177.697098245134,,92169.03243,0.0019279479621324043,BTC_grid,sell,5.0,grid,BTC,1763337600
185,40.0,0.39080305389264813,97.70076347316203,,86680.54861499999,0.0011271359611152137,BTC_grid,buy,5.0,grid,BTC,1763596800
187,40.0,0.3818618067416342,95.46545168540855,,84697.37013000001,0.0011271359611152137,BTC_grid,sell,5.0,grid,BTC,1763769600
257,40.0,0.3895992616379634,97.39981540949084,,78780.460545,0.0012363448339306842,BTC_grid,buy,5.0,grid,BTC,1769817600
258,40.0,0.3804466767439474,95.11166918598684,,76929.72589500001,0.0012363448339306842,BTC_grid,sell,5.0,grid,BTC,1769904000
261,40.0,0.3883753731347765,97.09384328369413,,73202.412915,0.00132637490237427,BTC_grid,buy,5.0,grid,BTC,1770163200
262,40.0,0.33360135354468423,83.40033838617106,,62878.40507,0.00132637490237427,BTC_grid,sell,5.0,grid,BTC,1770249600
54,40.0,1.0005,250.12499999999997,,2944.75164,0.08493925144736483,ETH_trend_following,buy,5.0,trend_following,ETH,1752278400
185,40.0,0.9624646278981271,240.61615697453178,,2832.80289,0.08493925144736483,ETH_trend_following,sell,5.0,trend_following,ETH,1763596800
233,40.0,0.989022456442807,247.25561411070174,,3170.3043599999996,0.0779911283062746,ETH_trend_following,buy,5.0,trend_following,ETH,1767744000
22,40.0,1.0005,250.12499999999997,,2817.8082,0.08876580031245561,ETH_breakout,buy,5.0,breakout,ETH,1749513600
33,40.0,0.8147216783837523,203.68041959593808,,2294.582135,0.08876580031245561,ETH_breakout,sell,5.0,breakout,ETH,1750464000
51,40.0,0.9522160680165129,238.05401700412824,,2770.1243699999995,0.08593621989763885,ETH_breakout,buy,5.0,breakout,ETH,1752019200
32,40.0,1.0005,250.12499999999997,,2407.6932449999995,0.10388574230518308,ETH_mean_reversion,buy,5.0,mean_reversion,ETH,1750377600
17,40.0,0.4002,100.05,,2415.217005,0.041424849109987116,ETH_grid,buy,5.0,grid,ETH,1749081600
33,40.0,0.39805895755267773,99.51473938816943,,2296.877865,0.04332609099708026,ETH_grid,buy,5.0,grid,ETH,1750464000
