asset,timeframe,strategy,verdict,total_return_pct,trade_count,cost_drag_pct
BTC,1d,trend_following,insufficient_trades,-0.33372450720835334,2,99.99999999999741
BTC,1d,breakout,insufficient_trades,29.593631449828173,1,100.00000000000104
BTC,1d,mean_reversion,blocked_risk,34.41650353628997,5,100.00000000000169
BTC,1d,grid,blocked_risk,32.431857916047576,12,100.00000000000078
BTC,1d,ema_crossover,insufficient_trades,26.866108667583283,1,100.00000000000104
BTC,1d,donchian_breakout,insufficient_trades,29.593631449828173,1,100.00000000000104
BTC,1d,rsi_mean_reversion,insufficient_trades,39.860184459313174,1,99.99999999999852
BTC,1d,bollinger_mean_reversion,insufficient_trades,39.29766283257257,3,99.99999999999953
BTC,1d,atr_breakout,insufficient_trades,82.7586227969165,1,100.00000000000104
BTC,4h,trend_following,blocked_costs,8.050199948175532,116,100.00000000000193
BTC,4h,breakout,blocked_risk,5.1668152220675205,108,99.99999999999996
BTC,4h,mean_reversion,blocked_risk,-13.956013474105031,204,100.00000000000007
BTC,4h,grid,insufficient_trades,48.106746578666616,3,100.0000000000077
BTC,4h,ema_crossover,blocked_risk,33.018166944345786,19,99.99999999999937
BTC,4h,donchian_breakout,blocked_risk,0.9977884131064115,102,100.0000000000002
BTC,4h,rsi_mean_reversion,blocked_risk,-17.607361504751136,185,100.0000000000006
BTC,4h,bollinger_mean_reversion,blocked_risk,-13.54029841638146,214,100.00000000000011
BTC,4h,atr_breakout,blocked_costs,-4.327503504476067,72,99.99999999999952
BTC,1h,trend_following,blocked_costs,-8.819821413105739,172,100.00000000000068
BTC,1h,breakout,blocked_costs,-9.70035265265767,184,100.00000000000024
BTC,1h,mean_reversion,blocked_risk,-14.874416030799717,284,100.00000000000011
BTC,1h,grid,insufficient_trades,1.91663868740053,11,100.00000000000631
BTC,1h,ema_crossover,blocked_risk,-9.604982333930456,172,99.99999999999979
BTC,1h,donchian_breakout,blocked_costs,-9.286340075608848,180,99.99999999999939
BTC,1h,rsi_mean_reversion,blocked_risk,-14.876498341018396,344,100.00000000000023
BTC,1h,bollinger_mean_reversion,blocked_risk,-15.011351965285973,278,99.99999999999959
BTC,1h,atr_breakout,blocked_costs,-8.387945677369112,144,99.99999999999962
ETH,1d,trend_following,insufficient_trades,-4.6878550523028935,1,99.99999999999852
ETH,1d,breakout,insufficient_trades,-3.4838499784711305,1,100.00000000000104
ETH,1d,mean_reversion,blocked_risk,-0.8674449825551505,5,100.00000000000047
ETH,1d,grid,blocked_risk,4.703949528043881,10,99.99999999999683
ETH,1d,ema_crossover,insufficient_trades,-1.9570894413543785,1,100.00000000000608
ETH,1d,donchian_breakout,insufficient_trades,-3.4838499784711305,1,100.00000000000104
ETH,1d,rsi_mean_reversion,insufficient_trades,2.678020678913549,3,100.00000000000074
ETH,1d,bollinger_mean_reversion,blocked_risk,6.406125990674832,21,99.99999999999929
ETH,1d,atr_breakout,blocked_risk,0.3635724254230809,9,100.00000000000111
ETH,4h,trend_following,blocked_risk,-1.1806740988652222,64,99.99999999999935
ETH,4h,breakout,blocked_risk,-0.7502813451207203,86,100.00000000000159
ETH,4h,mean_reversion,blocked_risk,-14.141196667696146,112,99.99999999999996
ETH,4h,grid,insufficient_trades,1.4333479274415482,9,100.00000000000453
ETH,4h,ema_crossover,blocked_risk,-7.370180015594087,119,100.00000000000009
ETH,4h,donchian_breakout,blocked_risk,-4.367666386845599,105,99.99999999999952
ETH,4h,rsi_mean_reversion,blocked_risk,-14.64565358966695,100,99.99999999999947
ETH,4h,bollinger_mean_reversion,blocked_risk,-13.657438543237765,130,100.00000000000017
