run_id,asset,timeframe,strategy,window_id,period,net_return_pct,max_drawdown_pct,trade_count,cost_drag_pct,passed
BTC_1d_trend_following,BTC,1d,trend_following,0,validation,3.5534000702459023,2.544693873477713,1,100.00000000000104,False
BTC_1d_trend_following,BTC,1d,trend_following,0,holdout,-2.812236361967382,4.022945471576925,4,100.00000000000145,True
BTC_1d_trend_following,BTC,1d,trend_following,1,validation,-0.6639975913836793,3.4290538136876414,4,100.00000000000135,False
BTC_1d_trend_following,BTC,1d,trend_following,1,holdout,-0.5230467294548248,4.0229454715769295,2,100.00000000000159,True
BTC_1d_trend_following,BTC,1d,trend_following,2,validation,-1.5101073727317498,2.851848292076795,3,100.00000000000264,False
BTC_1d_trend_following,BTC,1d,trend_following,2,holdout,-0.35236142598270137,1.9557319523934038,3,99.99999999999966,True
BTC_1d_trend_following,BTC,1d,trend_following,3,validation,-2.812236361967382,4.022945471576925,4,100.00000000000145,False
BTC_1d_trend_following,BTC,1d,trend_following,3,holdout,-3.6019977671677,5.4032777912987555,2,99.99999999999923,True
BTC_1d_trend_following,BTC,1d,trend_following,4,validation,-0.5230467294548248,4.0229454715769295,2,100.00000000000159,False
BTC_1d_trend_following,BTC,1d,trend_following,4,holdout,-3.6019977671677,5.4032777912987555,2,99.99999999999923,True
BTC_1d_trend_following,BTC,1d,trend_following,5,validation,-0.35236142598270137,1.9557319523934038,3,99.99999999999966,False
BTC_1d_trend_following,BTC,1d,trend_following,5,holdout,-4.2747300084120985,6.660984140599611,4,100.00000000000038,True
BTC_1d_trend_following,BTC,1d,trend_following,6,validation,-3.6019977671677,5.4032777912987555,2,99.99999999999923,False
BTC_1d_trend_following,BTC,1d,trend_following,6,holdout,1.5058475449931847,1.8848259993470888,3,99.99999999999622,True
BTC_1d_breakout,BTC,1d,breakout,0,validation,0.15951242607002314,2.4720429757387286,3,100.00000000000134,False
BTC_1d_breakout,BTC,1d,breakout,0,holdout,-8.210662880134612,8.210662880134612,6,99.99999999999986,False
BTC_1d_breakout,BTC,1d,breakout,1,validation,-0.47603909313601206,2.9987962848866694,2,99.99999999999781,False
BTC_1d_breakout,BTC,1d,breakout,1,holdout,-5.480854043192437,5.586989986873738,4,99.99999999999727,False
